name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
The Goodale Park Overlook,52174539,Kate & Nat,,Near North/University,39.977,-83.00932,Entire home/apt,184,2,21,2022-09-04,0.94,25,92,14,2022-1221,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Pet Friendly 1 BD Large Stylish Miller 2D,174256511,Nicholas,,Near East,39.95509,-82.96066,Entire home/apt,75,2,33,2022-07-27,1.4,32,356,12,2020-1277,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
OSU North Campus Security Building 2BR Apartment#1,2155166,Leah,,Near North/University,40.00685,-83.01858,Entire home/apt,30,30,0,,,2,356,0,,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
❤ Cozy and spacious 3BD family unit ❤Pet Friendly❤,347298524,Luluhomes,,Northland,40.0952,-83.0042,Entire home/apt,102,30,6,2022-03-04,0.29,2,28,2,,43085,"10,514","10,115",399,6.4,"274,300","1,794","1,150","7,236","10,504","10,211",293,6.4,"220,200","1,607","1,009","7,376","93,953","114,258","76,190","95,938"
Pet Friendly 1 Bedroom Northview H,174256511,Nicholas,,Northeast,39.98696,-82.93446,Entire home/apt,84,2,42,2022-07-23,1.89,32,361,23,2020-1277,43129,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OSU North Campus Security Building 2BR Apt 1 room,2155166,Leah,,West Olentangy,40.00832,-83.02018,Private room,30,30,1,2020-12-31,0.05,2,358,0,,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Whole House German Village - Frankfort,10031170,The House Hotels,,Near South,39.94634,-82.99918,Entire home/apt,130,1,5,2022-03-13,0.25,6,0,3,2019-1354,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
★ Trendy Spot Newly Remodeled in the <3 of it all!,273519092,Adriana,,Near East,39.95799,-82.96919,Entire home/apt,162,2,73,2022-09-04,3.38,1,73,34,2020-2183,43209,"12,965","11,990",975,5.8,"284,300","1,780",885,"6,785","12,594","11,566","1,028",5.7,"206,000","1,594",790,"6,527","69,290","102,500","53,134","88,976"
Modern Downtown Luxury Apartment w/ View,224493353,Dom,,Downtown,39.95856,-83.00083,Entire home/apt,198,2,82,2022-09-13,3.54,17,339,51,2022-4455,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Hammock's Tranquil Private BR great 4 work & sleep,337918541,Darryl & Wendy,,Eastmoor/Walnut Ridge,39.95777,-82.87065,Private room,68,1,61,2022-08-16,3.06,4,322,43,,43213,"15,451","14,163","1,288",4.8,"125,600","1,135",872,"5,289","15,665","13,916","1,749",4.8,"97,700","1,112",771,"4,688","43,989","52,344","34,610","37,801"
CityWalk- Short North/Arena/Convention Center,356660084,Nia,,Downtown,39.97354,-83.00259,Entire home/apt,103,2,71,2022-09-18,3.36,1,143,50,2020-2217,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Hammock's Small Family Getaway,337918541,Darryl & Wendy,,Eastmoor/Walnut Ridge,39.95905,-82.87065,Private room,68,1,18,2022-08-01,0.94,4,137,11,,43213,"15,451","14,163","1,288",4.8,"125,600","1,135",872,"5,289","15,665","13,916","1,749",4.8,"97,700","1,112",771,"4,688","43,989","52,344","34,610","37,801"
Clintonville Charmer | Walk to Great Restaurants!,52174539,Kate & Nat,,Clintonville,40.04941,-83.02403,Entire home/apt,114,2,20,2022-08-07,0.89,25,149,18,2021-3217,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Old Town East 1 bed sleeps 4 pet friendly Forest C,174256511,Nicholas,,Near South,39.94709,-82.97072,Entire home/apt,75,2,47,2022-09-04,2.03,32,355,29,2022-2848,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Upstairs Bedroom in Victorian Village,47347495,Lisa,,Near North/University,39.97902,-83.01321,Private room,70,30,6,2022-09-18,0.29,1,180,3,,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Bexley Mid-Mod Masterpiece near Downtown & Airport,10620281,Robert,,Eastmoor/Walnut Ridge,39.97016,-82.92291,Entire home/apt,233,2,82,2022-09-05,3.97,5,158,46,2021-2865,43209,"12,965","11,990",975,5.8,"284,300","1,780",885,"6,785","12,594","11,566","1,028",5.7,"206,000","1,594",790,"6,527","69,290","102,500","53,134","88,976"
Entire Carriage Home in  Historic German Village,373586753,Amanda,,Near South,39.948,-82.99568,Entire home/apt,124,1,155,2022-09-16,8.24,1,151,100,2021-1013,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Spacious 2 BR 2.5 BA Townhouse in Olde Towne East,86323915,Jenny,,Near East,39.96363,-82.97106,Entire home/apt,80,30,5,2022-07-30,0.25,1,1,2,,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
"Cheerful 4 bedroom lake view, patio and kitchen.",373862149,Marisol,,Southeast,39.88913362,-82.84836341,Entire home/apt,244,1,7,2022-09-19,7,1,67,7,Exempt,43110,"16,476",s,692,5.5,"182,000","1,459",998,"9,310","14,378","13,253","1,125",5.6,"157,200","1,480",890,"8,531","62,489","82,516","65,933","77,562"
Charming German Village Cottage- Free Parking Spot,373870735,Robert,,Near South,39.94532,-82.98474,Entire home/apt,192,1,105,2022-08-22,4.61,1,168,53,2020-2064,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
The Jungle Book 🌿 - SHORT NORTH • Downtown • FREE Parking • Near Nationwide Arena & Convention Center,109117484,Sergio,,Near North/University,39.97494,-83.00873,Entire home/apt,145,1,261,2022-09-18,11.46,10,212,147,2021-1845,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Cozy King Lincoln,165232727,McDaniel Management,,Near East,39.96758,-82.97438,Entire home/apt,172,2,62,2022-08-15,2.78,4,35,28,2021-3274,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
~Luxury Polaris 2BR w/Patio + WiFi +  Washer/Dryer!~,27280979,Jesse,,Far North,40.14201,-82.9582,Entire home/apt,206,28,5,2022-01-15,0.26,37,295,1,,43082,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"RUSTIC ROULETTE
(newly renovated 3 bdrm/2.5 bath)",6394238,Nikhil,,Near East,39.97096,-82.97204,Entire home/apt,239,3,12,2022-07-25,0.66,3,74,4,2021-1080,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Spacious 1bd Suite ♥🎶 Inspired by the BEATLES,325932974,Evan,,Near North/University,39.9873,-83.00257,Entire home/apt,94,1,99,2022-09-11,4.4,34,74,50,2020-1114,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Cozy private bedroom with queen bed and workspace,65250167,Marina,,Near South,39.93523,-82.98637,Private room,49,1,49,2022-09-03,2.2,3,78,24,2019-3616,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
Cozy little queen bedroom with workspace,65250167,Marina,,Near South,39.93486,-82.98433,Private room,66,1,86,2022-09-17,3.86,3,76,47,2019-3616,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
Majestic Mohawk II • German Village •Schiller Park,10620281,Robert,,Near South,39.94608,-82.99147,Entire home/apt,156,2,110,2022-09-04,5.09,5,157,62,20211038,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Private Chic Home - Downtown Columbus,352794556,Chanel,,Near East,39.96157,-82.97592,Entire home/apt,98,30,3,2022-03-03,0.18,2,331,2,,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
"Bright, Clean, Welcoming Flat",94337607,Alezah,,Far North,40.1147,-82.92483,Entire home/apt,98,1,43,2022-06-26,2.17,9,312,27,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
GermanVillage_Private Parking Children'sHospital E,249951812,Jessie,,Near South,39.94893,-82.98411,Entire home/apt,100,1,105,2022-08-27,4.76,19,96,65,2021-2455,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
PrivateParking/Entrance_OSU/ExpoCentr 6D Renovated,249951812,Jessie,,Near North/University,39.99497,-82.998,Entire home/apt,92,1,87,2022-09-04,4.86,19,87,62,2021-3146,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Nice 3 bd 1 bth just minutes from OSU, CMH, DWNTWN",48511914,Santoria,,Near East,39.97569,-82.96526,Entire home/apt,149,14,12,2022-05-15,0.91,6,90,9,2021-2214,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Welcoming Bohemian Westerville Getaway,94337607,Alezah,,Far North,40.11517,-82.92515,Entire home/apt,98,1,144,2022-09-17,6.64,9,321,73,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
"Little Blue 1 Bed, 1 Bath Studio - RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.97813,-83.00047,Entire home/apt,93,1,65,2022-08-31,3.01,12,333,43,2021-3075,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Luxurious & Spacious ~ 5* Location, Enclosed Porch",376872758,Aaron,,Near South,39.94416,-82.98635,Entire home/apt,193,1,61,2022-09-18,2.99,8,350,25,2021-3526,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Very nice Apt non smoking is cleaned for every Gus,377031988,Amadou,,Northeast,40.04781,-82.91724,Entire home/apt,150,3,0,,,1,0,0,2019-2020,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
"4BR, 2.5bth, 2CG & Backyard in serene neighborhood",73222875,Patrick,,Northland,40.06336,-82.95786,Entire home/apt,302,1,0,,,1,345,0,2022-2752,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
"Chic, Simple, Clean Westerville Flat",94337607,Alezah,,Far North,40.11489,-82.92705,Entire home/apt,98,5,71,2022-09-04,3.39,9,356,43,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
💫 Cali Style Townhouse - Mins to Everything💫,3216904,Katie And David,,West Olentangy,39.99024,-83.04353,Entire home/apt,167,2,147,2022-09-11,6.77,5,64,124,2020-2229,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
💫Coastal Style in the City - Close to Everything!💫,3216904,Katie And David,,West Olentangy,39.98891,-83.04524,Entire home/apt,161,2,162,2022-09-19,7.47,5,67,131,2020-2228,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
"Quaint 1 Bedroom, Furnish Apt. Near OSU",115344814,Concetta,,Near North/University,39.98526,-83.01143,Entire home/apt,50,30,6,2022-08-13,0.31,1,333,4,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Convenient Downtown Apartment. You’ll Love it Here,57416448,Laila,,Downtown,39.95811,-82.9989,Entire home/apt,191,2,53,2022-09-18,2.44,5,357,29,2020-3913,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Majestic Mohawk III • German Village • Nationwide,10620281,Robert,,Near South,39.94414,-82.99323,Entire home/apt,136,2,76,2022-09-10,3.52,5,173,42,2021-1039,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
🌲 Mtn Mod Townhome w/City Views-Unmatched Location,3216904,Katie And David,,West Olentangy,39.98842,-83.04354,Entire home/apt,182,2,172,2022-09-18,7.93,5,66,128,2020-2227,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
★ Puppy Christmas  ★ Private Home Near OSU ★,90062227,Sam,,Near North/University,40.01284,-83.00803,Entire home/apt,131,2,72,2022-08-29,3.36,8,345,36,2021-3008,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Luxury Townhome In Olde Towne East Near Downtown,119659878,Kay,,Near East,39.95438,-82.9747,Entire home/apt,149,3,9,2022-06-19,0.43,7,360,4,2022-1369,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Popular Location | Free Parking | Dog Friendly,8963103,Sarah,,Near North/University,39.98472,-83.00612,Entire home/apt,131,2,69,2022-09-18,3.28,33,153,37,2021-2544,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
☆ Modern Executive 1BR w/Patio + Washer/Dryer + Gym! ☆,27280979,Jesse,,Rocky Fork-Blacklick,40.0977,-82.84941,Entire home/apt,109,30,1,2022-05-30,0.26,37,233,1,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
Nature View Flat In New Albany Area w/Parking + Amenities!,27280979,Jesse,,Rocky Fork-Blacklick,40.09765,-82.84923,Entire home/apt,99,30,0,,,37,365,0,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
The Harris-McKinley - Your home away from home,101833432,James,,South Linden,39.98203,-82.9434,Entire home/apt,124,30,1,2022-08-06,0.64,2,348,1,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Live In Style Downtown!,65045986,Jonniqua,,Downtown,39.95895,-82.99944,Entire home/apt,187,1,80,2022-09-04,3.92,5,60,45,2020-4365,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Bronze Skyline Loft—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.964275,-82.99778,Entire home/apt,118,30,0,,,25,110,0,2019-1897,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Elegant Urban Flat—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.964275,-82.99778,Entire home/apt,118,30,4,2022-08-12,0.21,25,127,2,2019-1900,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Room w/private bath Near NCH DWNTWN, OSU/Med Ctr1",380948398,Takeiciou,,Near South,39.95043,-82.95743,Private room,38,14,3,2022-07-03,0.17,5,150,1,2022-1237,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
The Paper White Flat—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.964275,-82.99778,Entire home/apt,189,30,3,2021-08-31,0.16,25,128,0,2019-2807,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Skyline Bike Condo—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.964275,-82.99778,Entire home/apt,189,30,4,2021-05-31,0.19,25,180,0,2019-2807,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Beautiful Clean Fully Renovated Home near OSU,381076042,Sam,,Near North/University,40.01223,-82.99741,Entire home/apt,180,2,53,2022-08-28,2.58,2,333,20,2020-2225,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
The Gay St Balcony Flat—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.96519,-82.99742,Entire home/apt,118,30,12,2021-12-18,0.6,25,17,1,2019-1908,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Industrial Historic Downtown Home,117626724,Jared,,Near East,39.96862,-82.9671,Entire home/apt,290,1,128,2022-09-14,6.33,2,315,73,2021-1030,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Worthington/Clintonville•15min from OSU/downtown ✨,364820330,Emma,,Clintonville,40.07233,-83.02174,Entire home/apt,168,2,54,2022-09-11,3.76,1,129,35,,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
"Room w/private bath Near NCH DWNTWN, OSU/Med Ctr2",380948398,Takeiciou,,Near South,39.94936,-82.95726,Private room,38,14,4,2022-08-07,0.24,5,170,3,2022-1237,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
🔆 New and spacious luxury stay! Close to downtown!,38962915,Jennifer,,Near East,39.96194,-82.9595,Entire home/apt,287,2,41,2022-09-04,3.54,5,77,41,2021-2715,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Pet Friendly 1 BD Large Stylish Madison A,174256511,Nicholas,,Near East,39.96507,-82.96249,Entire home/apt,95,2,57,2022-07-24,2.93,32,357,27,2022-2874,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
The Mid-Mod Flat—Downtown / Convention Center,116400313,Nate,,Downtown,39.96452,-82.99708,Entire home/apt,118,30,7,2022-07-17,0.34,25,149,2,2019-1919,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Buckeye Skyline Loft—DOWNTOWN/ARENA/CONV CTR,116400313,Nate,,Downtown,39.96358,-82.99884,Entire home/apt,118,30,2,2021-05-22,0.1,25,147,0,2019-1915,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Velvet Skyline Flat—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.96344,-82.99804,Entire home/apt,118,30,4,2021-07-24,0.21,25,164,0,2019-1909,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
House of MOVIES,16184897,Toya,,Near South,39.9511,-82.97439,Entire home/apt,85,30,12,2021-09-27,0.66,5,0,1,2019-3460,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
"PRECIOUS METALS 
(Newly renovated 3 bed/2.5 bath)",6394238,Nikhil,,Near East,39.96979,-82.97371,Entire home/apt,220,3,8,2022-01-16,0.43,3,74,1,2021-1079,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Comfy 3 Bedroom Home w/ Balcony—Westgate,384753338,YMarii,,Hilltop,39.95454,-83.07965,Entire home/apt,140,14,5,2022-09-02,0.3,1,350,2,2020-2993,43204,"19,186","17,220","1,966",5.4,"117,300","1,102",935,"8,651","19,255","15,560","3,695",5.5,"98,300","1,087",855,"7,550","48,770","55,405","40,729","45,090"
Housepitality - The Neuschwanstein Flat,26958698,Benjamin,,Downtown,39.95373,-82.99381,Entire home/apt,134,30,36,2022-09-10,1.82,107,350,25,2021-3485,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eclectic Urban Home in Olde Towne East - Downtown,384959789,Dan,,Near East,39.9625,-82.96334,Entire home/apt,146,1,26,2022-05-22,3.51,1,28,26,2022-1125,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Elegant Historic 2 BR Duplex in Olde Town East,17197649,Elaine,,Near East,39.95982,-82.96057,Entire home/apt,78,3,6,2022-06-19,0.33,1,325,5,2021-1003,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
The Treetop Hideaway • Work & Relax in OSU Area,325932974,Evan,,Near North/University,40.01618,-83.01192,Entire home/apt,84,2,62,2022-09-04,3.54,34,88,42,2022-1020,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Bright + Updated House ✨ Big Ktchn✨ German Village,325932974,Evan,,Near South,39.93795,-82.9939,Entire home/apt,125,31,106,2022-09-02,5.29,34,65,54,2020-1201,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
The German Carriage Loft • Live in Brewery Dstrct!,325932974,Evan,,Near South,39.94254,-82.99651,Entire home/apt,122,31,61,2022-09-04,3.01,34,63,24,2020-1201,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Comfy Old North Getaway | ♛Queen Bed |Free parking,325932974,Evan,,Near North/University,40.0186,-83.01039,Entire home/apt,98,2,49,2022-09-17,2.77,34,40,32,2022-1019,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Exclusive Carriage Loft • Heart of Brewery Dstrct!,325932974,Evan,,Near South,39.94303,-82.99599,Entire home/apt,129,31,45,2022-09-12,2.48,34,5,34,2020-1201,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
